date,title,sentiment_score,positive_count,negative_count,source
2026-04-17,"신한은행-더존비즈온, '뱅크인 플랫폼' 기반 협업 확대",0.0,0,0,http://www.sisacast.kr/news/articleView.html?idxno=95067
2026-04-17,"반도체 후공정부터 뇌수술까지... 고영, 정밀 제어 기술의 무한 확장",0.261,1,0,https://www.pinpointnews.co.kr/news/articleView.html?idxno=446353
2026-04-17,"삼성, 갤럭시S27에 '프로' 모델 추가",0.0,0,0,https://www.etnews.com/20260416000030
2026-04-19,"NH證, 불공정거래 잇단 적발에도 공개매수 다수 주관",0.0,0,0,https://www.segye.com/newsView/20260419508631?OutUrl=naver
2026-04-20,"한국 딜로이트 그룹-한국중견기업연합회, IFRS 18 도입 실전전략 웨비나...",0.0,0,0,https://www.etoday.co.kr/news/view/2577096
2026-04-20,"더존비즈온, '메이커톤 2026'으로 AI 코딩 대중화 나선다",0.0,0,0,https://www.mediafine.co.kr/news/articleView.html?idxno=77658
2026-04-20,"더존비즈온, ""대화하듯 즉시 구현""... 누구나 개발자 되는 ‘메이커톤 ...",0.0,0,0,https://www.geconomy.co.kr/news/article.html?no=319578
2026-04-20,"[단독] ""AI 핵심 인재 떠난다""…EQT가 품은 더존비즈온, 송호철 공백 '비...",0.322,1,0,https://zdnet.co.kr/view/?no=20260420173153
2026-04-20,"더존비즈온 '메이커톤' 개최…""비전문가도 하루만에 프로젝트 완성""",0.0,0,0,https://news.bizwatch.co.kr/article/mobile/2026/04/20/0032
2026-04-20,"[POP!IT] LG전자, '스탠바이미 2 맥스' 출시 外",0.0,0,0,http://www.popcornnews.net/news/articleView.html?idxno=118806
2026-04-20,"더존비즈온 ""코딩 몰라도 아이디어만 있으면 하룻새 소프트웨어 뚝딱""",0.0,0,0,https://www.catchnews.kr/news/articleView.html?idxno=122995
2026-04-20,"더존비즈온, 바이브코딩 확산 위한 해커톤 개최",0.0,0,0,https://www.digitaltoday.co.kr/news/articleView.html?idxno=658452
2026-04-20,"[ZD SW 투데이] SAP, 하노버 산업 박람회 2026 참가 外",0.0,0,0,https://zdnet.co.kr/view/?no=20260420161035
2026-04-20,"삼성SDS, 삼성전기 클라우드 ERP 전환 성공…‘인프라+SI’ 통합 모델 부...",0.0,0,0,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202604201301349470860
2026-04-20,"더존비즈온, '더존 메이커톤 2026' 개최",0.0,0,0,https://www.koit.co.kr/news/articleView.html?idxno=206820
2026-04-20,"더존비즈온, 내달 7일 '더존 메이커톤 2026 with 레플릿' 개최",0.0,0,0,https://dealsite.co.kr/articles/160462
2026-04-20,"더존비즈온, '메이커톤 2026' 개최…AI 기반 개발 패러다임 제시",0.0,0,0,https://www.businessplus.kr/news/articleView.html?idxno=110855
2026-04-20,"더존비즈온, ‘더존 메이커톤 2026’ 개최…AI 개발 패러다임 전환 제시",0.0,0,0,https://www.etoday.co.kr/news/view/2577307
2026-04-20,"""AI 시대 새 개발 패러다임"" 더존 메이커톤 2026 열린다",0.0,0,0,https://www.taxtimes.co.kr/news/article.html?no=274783
2026-04-20,"더존비즈온 ""AI와 대화하며 앱 만들어 봐요""",0.0,0,0,https://www.taxwatch.co.kr/article/tax/2026/04/20/0004/naver
2026-04-20,"더존비즈온, AI 시대 새 개발 패러다임 '더존 메이커톤 2026' 개최한다",0.0,0,0,https://www.sejungilbo.com/news/articleView.html?idxno=58078
2026-04-20,"더존비즈온, ‘더존 메이커톤’ 개최…“AI 시대 개발 패러다임 제시”",0.0,0,0,https://biz.chosun.com/industry/business-venture/2026/04/20/QQWCAWFJLFENLKFL327VMSX4Z4/?utm_source=naver&utm_medium=original&utm_campaign=biz
