날짜,Utilities,Open,High,Low,Close,Volume,거래대금,상장시가총액,open,high,low,close,volume
2020-03-09,,4017.96,4038.58,3943.11,3947.5,34617229.0,958373525503.0,128961776777835.0,,,,,
2020-03-10,,3914.73,3995.06,3909.63,3980.97,58836564.0,1059039728557.0,129981220427130.0,,,,,
2020-03-11,,4004.45,4009.69,3869.99,3894.25,28401820.0,747202399769.0,127171286088565.0,,,,,
2020-03-12,,3865.08,3880.77,3627.04,3674.76,40523455.0,1188723960150.0,120032274362455.0,,,,,
2020-03-13,,3453.09,3575.79,3341.0,3532.8,53533663.0,1235996967199.0,115312089464925.0,,,,,
2020-03-16,,3593.46,3593.46,3368.91,3369.91,30185621.0,797840329424.0,110050190507564.0,,,,,
2020-03-17,,3221.95,3392.08,3211.4,3355.0,29857178.0,863024815914.0,109505490973905.0,,,,,
2020-03-18,,3378.3,3442.71,3240.84,3241.18,27944503.0,1034049930529.0,105810129603299.0,,,,,
2020-03-19,,3307.16,3325.04,2858.69,2868.05,51498442.0,1318399466694.0,93767404945860.0,,,,,
2020-03-20,,2997.11,3126.66,2896.88,3126.66,41873660.0,1020284996052.0,102027160297028.0,,,,,
2020-03-23,,2931.14,3046.42,2897.64,2952.01,27386179.0,795289988981.0,96336139634980.0,,,,,
2020-03-24,,3054.39,3186.35,2993.76,3184.32,30906461.0,889544593557.0,103800611252215.0,,,,,
2020-03-25,,3303.37,3421.61,3261.5,3415.87,42066776.0,1190028110263.0,111289323463474.0,,,,,
2020-03-26,,3418.03,3506.77,3345.74,3378.43,42817116.0,1322399138101.0,110158957978188.0,,,,,
2020-03-27,,3527.93,3527.93,3332.72,3426.95,39768337.0,1086078135755.0,111668685335391.0,,,,,
2020-03-30,,3307.8,3459.47,3290.98,3431.85,27148410.0,842676455784.0,111838024436430.0,,,,,
2020-03-31,,3481.64,3510.57,3431.13,3504.5,37496527.0,905402509355.0,114162527615727.0,,,,,
2020-04-01,,3468.75,3516.07,3363.88,3366.93,38526633.0,935529487002.0,109675354316838.0,,,,,
2020-04-02,,3396.78,3514.44,3325.31,3498.84,87887352.0,1099543944243.0,113891717396434.0,,,,,
2020-04-03,,3587.35,3593.08,3443.8,3486.48,81435132.0,1140552206444.0,113548182653855.0,,,,,
2020-04-06,,3540.73,3641.07,3529.66,3626.85,82770397.0,966201933799.0,118092787563515.0,,,,,
2020-04-07,,3678.04,3709.61,3603.67,3681.47,46869036.0,990723369457.0,119885053293650.0,,,,,
2020-04-08,,3646.15,3767.42,3635.2,3699.79,46929440.0,921549545203.0,120490184737000.0,,,,,
2020-04-09,,3775.69,3799.96,3713.98,3799.96,51681756.0,916812521804.0,123669768729030.0,,,,,
2020-04-10,,3757.41,3815.1,3729.18,3812.54,42194291.0,877970280745.0,124087503746185.0,,,,,
2020-04-13,,3789.3,3797.24,3734.65,3736.55,46304535.0,1017812956777.0,121627178377205.0,,,,,
2020-04-14,,3794.03,3837.33,3776.62,3815.11,73966353.0,1054961571524.0,124141410420595.0,,,,,
2020-04-16,,3777.43,3852.02,3763.92,3839.54,44122558.0,924553124208.0,124920960602065.0,,,,,
2020-04-17,,3903.64,4008.81,3903.64,3971.76,39501634.0,1119641053660.0,129291911219505.0,,,,,
2020-04-20,,3951.33,4033.9,3946.11,3955.47,31401169.0,882778847790.0,128796371269460.0,,,,,
2020-04-21,,3939.12,3991.81,3839.07,3952.39,44133177.0,1220399748959.0,128653671176260.0,,,,,
2020-04-22,,3897.56,3973.31,3871.34,3969.32,26228242.0,742330921348.0,129224403679960.0,,,,,
2020-04-23,,4008.08,4107.1,3980.46,4107.02,38011536.0,1086098102852.0,133667981347850.0,,,,,
2020-04-24,,4088.53,4091.61,4021.79,4044.57,44194351.0,884462501543.0,131662812093565.0,,,,,
2020-04-27,,4054.93,4102.04,4040.86,4080.06,32751887.0,802170225977.0,132757523910635.0,,,,,
2020-04-28,,4100.22,4113.56,4052.59,4085.2,43293789.0,1081317501170.0,132970490072215.0,,,,,
2020-04-29,,4116.61,4171.82,4116.61,4146.89,52411921.0,1033307651638.0,134917553665360.0,,,,,
2020-05-04,,4043.5,4076.41,4014.47,4020.07,38052732.0,978125674799.0,130773435472415.0,,,,,
2020-05-06,,4083.4,4098.33,4035.83,4070.97,56313206.0,961489400099.0,132363672960915.0,,,,,
2020-05-07,,4044.58,4091.87,4038.19,4072.63,24903627.0,700238712327.0,132406874282785.0,,,,,
2020-05-08,,4089.29,4118.43,4080.07,4101.53,30292487.0,821735859221.0,133340518756535.0,,,,,
2020-05-11,,4113.03,4117.93,4056.13,4056.8,36322621.0,935853678254.0,131890872887300.0,,,,,
2020-05-12,,4054.25,4054.25,3964.05,3977.71,34334592.0,853834801485.0,129372202565050.0,,,,,
2020-05-13,,3929.12,4040.82,3928.85,4040.82,48217564.0,1054468521148.0,131415029438180.0,,,,,
2020-05-14,,4001.79,4023.76,3973.61,4017.34,31486173.0,1047078544145.0,130589918077235.0,,,,,
2020-05-15,,4048.63,4052.42,4003.73,4038.8,38967555.0,1327085466337.0,131275657195805.0,,,,,
2020-05-18,,4069.0,4069.0,4010.03,4059.66,35400299.0,991573288459.0,131929970610850.0,,,,,
2020-05-19,,4145.65,4162.23,4130.94,4146.29,41424374.0,1378048001577.0,134705208728120.0,,,,,
2020-05-20,,4124.12,4162.41,4124.12,4153.21,40461712.0,802965342583.0,134935042190825.0,,,,,
2020-05-21,,4184.72,4246.98,4172.18,4212.13,59777542.0,1523232912428.0,136841555532805.0,,,,,
2020-05-22,,4236.73,4240.37,4115.84,4137.79,38439750.0,919858308820.0,134338997434735.0,,,,,
2020-05-25,,4163.01,4191.03,4107.74,4185.26,40340763.0,815660288173.0,135824339025760.0,,,,,
2020-05-26,,4227.4,4347.3,4224.03,4340.27,41926292.0,1452052647178.0,140826009667015.0,,,,,
2020-05-27,,4331.5,4379.6,4288.41,4307.79,44717561.0,1205596140221.0,139783104283855.0,,,,,
2020-05-28,,4316.93,4327.77,4199.33,4239.24,59571081.0,1259155321081.0,137572335637580.0,,,,,
2020-05-29,,4224.97,4254.13,4188.71,4228.92,94018775.0,1141256009995.0,137264452483905.0,,,,,
2020-06-01,,4241.97,4295.14,4237.07,4294.92,40845651.0,811656463992.0,139337544530890.0,,,,,
2020-06-02,,4296.89,4328.07,4282.67,4314.87,45514310.0,888028642932.0,139971796374625.0,,,,,
2020-06-03,,4368.7,4399.96,4350.76,4397.44,40035102.0,1144544205579.0,142640956058395.0,,,,,
2020-06-04,,4446.6,4503.58,4410.19,4441.83,53821176.0,1638708757284.0,144145665327845.0,,,,,
2020-06-05,,4469.52,4495.12,4449.85,4493.6,39781651.0,1083629177464.0,145842792470150.0,,,,,
2020-06-08,,4576.46,4581.55,4483.49,4502.16,40976201.0,1146422200817.0,146175037393710.0,,,,,
2020-06-09,,4526.53,4566.73,4453.78,4487.55,63661679.0,1735780909708.0,145836075668665.0,,,,,
2020-06-10,,4494.91,4503.66,4464.71,4491.06,49170159.0,1155937916087.0,146072874014730.0,,,,,
2020-06-11,,4480.98,4531.28,4419.73,4475.65,46763529.0,1932706111731.0,145744387515850.0,,,,,
2020-06-12,,4274.99,4384.23,4269.82,4371.89,45279270.0,1712931394667.0,142460378535815.0,,,,,
2020-06-15,,4316.7,4332.4,4106.71,4106.71,50417564.0,1751348565736.0,133788302230055.0,,,,,
2020-06-16,,4227.93,4398.4,4207.64,4398.4,32914825.0,1601380030305.0,143295903014445.0,,,,,
2020-06-17,,4392.42,4464.51,4336.96,4407.79,42220516.0,1962202428585.0,143687321632795.0,,,,,
2020-06-18,,4391.73,4422.48,4362.96,4404.72,38430749.0,1126674737916.0,143790093469520.0,,,,,
2020-06-19,,4464.39,4491.04,4393.69,4491.04,41410505.0,1327935603390.0,146507950110815.0,,,,,
2020-06-22,,4475.05,4495.79,4428.6,4439.22,51495076.0,1181403899416.0,144780152420180.0,,,,,
2020-06-23,,4486.58,4514.06,4412.05,4459.34,45107914.0,1409264685465.0,145375219261225.0,,,,,
2020-06-24,,4502.93,4542.14,4477.92,4535.34,40850442.0,1189121632285.0,147738628359755.0,,,,,
2020-06-25,,4465.4,4488.32,4404.48,4404.48,37698289.0,1701727818615.0,143504318184720.0,,,,,
2020-06-26,,4471.71,4475.78,4393.71,4464.2,46140656.0,1361091490550.0,145384829394990.0,,,,,
2020-06-29,,4382.49,4418.72,4335.53,4352.76,34718140.0,1666305798831.0,141729552865300.0,,,,,
2020-06-30,,4415.61,4514.22,4412.43,4450.35,66419502.0,2526108573896.0,145082967888760.0,,,,,
2020-07-01,,4483.37,4483.37,4397.9,4408.91,47398491.0,1672624405627.0,143623457848370.0,,,,,
2020-07-02,,4448.79,4495.87,4427.65,4495.87,52346423.0,1449594374749.0,146388659840580.0,,,,,
2020-07-03,,4542.43,4553.76,4504.31,4533.57,38510942.0,1201985802629.0,147637523813235.0,,,,,
2020-07-06,,4555.49,4570.4,4512.49,4568.79,42058949.0,1320332083538.0,148794756213140.0,,,,,
2020-07-07,,4604.36,4628.24,4560.53,4567.68,35795711.0,1269504663152.0,148806432624320.0,,,,,
2020-07-08,,4570.56,4584.05,4538.14,4558.29,49265776.0,1310194418389.0,148509755010410.0,,,,,
2020-07-09,,4572.09,4658.84,4563.78,4634.65,58052292.0,1953602520761.0,150997007642505.0,,,,,
2020-07-10,,4632.01,4639.01,4533.05,4546.37,131158442.0,1658456899745.0,148090173926760.0,,,,,
2020-07-13,,4596.57,4659.2,4584.11,4652.27,113975081.0,1485508241383.0,151456575340465.0,,,,,
2020-07-14,,4624.73,4653.14,4610.94,4633.31,69278636.0,1376104100799.0,150826285994285.0,,,,,
2020-07-15,,4686.87,4709.4,4639.32,4670.23,93518567.0,1410886882345.0,151971551260685.0,,,,,
2020-07-16,,4676.67,4702.15,4624.36,4646.62,100251877.0,1697980237841.0,151155853757330.0,,,,,
2020-07-17,,4645.26,4666.18,4602.7,4629.74,61389218.0,1048903349337.0,150623792210580.0,,,,,
2020-07-20,,4634.4,4634.75,4565.12,4601.36,55040400.0,1113344800649.0,149720257986145.0,,,,,
2020-07-21,,4642.89,4748.15,4642.89,4729.67,61516813.0,1777948053995.0,153884534831750.0,,,,,
2020-07-22,,4718.72,4787.89,4705.88,4760.26,55310625.0,1998690821544.0,154821058027240.0,,,,,
2020-07-23,,4781.89,4787.12,4689.58,4718.88,52182446.0,2509620563245.0,153538431504400.0,,,,,
2020-07-24,,4653.65,4695.79,4626.47,4664.97,40826123.0,3040156955819.0,151782211363760.0,,,,,
2020-07-27,,4662.29,4730.05,4662.29,4698.51,50719372.0,2572275510949.0,152889080143515.0,,,,,
2020-07-28,,4713.74,4748.32,4689.38,4720.46,42648643.0,1263343003927.0,153625690938805.0,,,,,
2020-07-29,,4704.64,4758.78,4702.47,4735.21,89593433.0,1802022278718.0,154098554269935.0,,,,,
2020-07-30,,4752.08,4775.23,4715.49,4745.05,49825262.0,1406100959804.0,154425866709080.0,,,,,
2020-07-31,,4779.11,4857.36,4726.68,4806.56,45803058.0,1795321487801.0,156420020235555.0,,,,,
2020-08-03,,4841.76,4976.06,4824.64,4943.22,56181944.0,2402927713892.0,161022931829285.0,,,,,
2020-08-04,,5024.1,5036.96,4989.3,5013.58,66834838.0,2222002934667.0,163487801640275.0,,,,,
2020-08-05,,5031.78,5220.61,5028.37,5201.29,50528492.0,3005305677131.0,169583630409970.0,,,,,
2020-08-06,,5200.31,5328.31,5180.78,5288.12,127950393.0,3185003045049.0,172392102260240.0,,,,,
2020-08-07,,5320.75,5570.76,5318.52,5555.21,76437917.0,4094599679069.0,181292287135830.0,,,,,
2020-08-10,,5591.7,5615.47,5509.82,5580.42,130946021.0,4679346745115.0,182106873537670.0,,,,,
2020-08-11,,5573.07,5778.82,5561.35,5775.93,63797806.0,3055219026899.0,188318707396080.0,,,,,
2020-08-12,,5757.73,5836.97,5708.64,5750.12,52802619.0,2402370921744.0,187425831266205.0,,,,,
2020-08-13,,5846.37,5896.35,5704.63,5774.19,53507869.0,2865556849763.0,188180276697655.0,,,,,
2020-08-14,,5763.48,5763.95,5596.36,5662.12,65427189.0,3295273964081.0,184578710378190.0,,,,,
2020-08-18,,5601.52,5654.0,5414.38,5442.95,69402203.0,2829414610436.0,177258312460455.0,,,,,
2020-08-19,,5507.46,5521.03,5428.68,5487.08,49701132.0,2216772576540.0,178741308260465.0,,,,,
2020-08-20,,5438.11,5508.79,5280.62,5291.45,52208520.0,2160122129234.0,172354737745240.0,,,,,
2020-08-21,,5373.99,5478.83,5345.22,5417.59,36463717.0,2065795554987.0,176576895771945.0,,,,,
2020-08-24,,5422.21,5456.62,5349.75,5433.63,40546797.0,1583124433549.0,177084315462045.0,,,,,
2020-08-25,,5496.73,5575.65,5473.93,5573.28,47916345.0,2031264811881.0,181524629676245.0,,,,,
2020-08-26,,5569.96,5661.9,5471.63,5629.6,63072783.0,2311995510928.0,183405894650880.0,,,,,
2020-08-27,,5675.39,5687.45,5575.04,5575.42,42915790.0,2278452635696.0,181679054810270.0,,,,,
2020-08-28,,5622.98,5648.54,5553.72,5588.39,44168152.0,1563492986855.0,182046296187240.0,,,,,
2020-08-31,,5626.56,5656.55,5490.83,5511.23,61403953.0,2288177251022.0,179461936536195.0,,,,,
