티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
043910,자연과환경,1209978475,1210389752,411277,1839671891195,1841610175431,1938284236
044060,조광ILI,44434600,45065106,630506,341892953165,348310564620,6417611455
044180,KD,48629836,48452461,-177375,75750442590,75615659845,-134782745
044340,위닉스,73732728,73451183,-281545,1534084002850,1526300091500,-7783911350
044480,경남바이오파마,90035468,90941033,905565,468603374900,475230151850,6626776950
044490,태웅,101499735,103046952,1547217,1198500377105,1213801380385,15301003280
044780,에이치케이,59538684,59276746,-261938,84071123982,83853342242,-217781740
044960,이글벳,479962174,480366029,403855,4054152416905,4061160698175,7008281270
044990,에이치엔에스하이텍,593277,509337,-83940,9835889685,8446123790,-1389765895
045060,오공,921545480,921819320,273840,6796207180265,6799583313900,3376133635
045100,한양이엔지,47765611,49870716,2105105,565266073080,590661768900,25395695820
045300,성우테크론,32670882,32673622,2740,181539964285,180961138660,-578825625
045340,토탈소프트,100503894,100202617,-301277,521437763160,521160416815,-277346345
045390,대아티아이,1574482164,1572734126,-1748038,9873695122510,9870590580210,-3104542300
045510,정원엔시스,41690849,41449108,-241741,85802523655,85300012055,-502511600
045520,크린앤사이언스,63870043,63786100,-83943,1866087789900,1864289898100,-1797891800
045660,에이텍,278047526,278009475,-38051,6877197155770,6878952220650,1755064880
045890,GV,576502679,593610935,17108256,589801016786,603493989272,13692972486
045970,코아시아,76127539,81185913,5058374,703061880885,752289871795,49227990910
046070,코다코,110379477,112286171,1906694,153282617877,155640759440,2358141563
046110,한일네트웍스,22556600,22300494,-256106,101891072900,100842452085,-1048620815
046120,오르비텍,439438542,439627666,189124,1944160092475,1945565744735,1405652260
046140,SBS콘텐츠허브,22018071,22086424,68353,134056583440,134732965755,676382315
046210,파나진,54962318,55891645,929327,183499576270,186412536205,2912959935
046310,백금T&A,153246786,154892386,1645600,457777817105,462726298115,4948481010
046390,삼화네트웍스,227511587,227226118,-285469,405219136963,405408753247,189616284
046440,KG모빌리언스,271362455,273291536,1929081,2760407602445,2776189247210,15781644765
046890,서울반도체,259715859,257324990,-2390869,4197244741070,4145738461710,-51506279360
046940,우원개발,132229234,132943880,714646,878949095240,885582819595,6633724355
046970,우리로,107091418,109717924,2626506,199721803615,205512059500,5790255885
047080,한빛소프트,107876725,107194464,-682261,407615346120,406406131485,-1209214635
047310,파워로직스,342024427,344920785,2896358,2888165991890,2912099286390,23933294500
047560,이스트소프트,19079696,18736098,-343598,153195671495,151094534050,-2101137445
047770,코데즈컴바인,277276053,276802016,-474037,783507869270,782522486840,-985382430
047820,초록뱀,5534918281,5551636100,16717819,11464794040287,11491937265402,27143225115
047920,에이치엘비제약,145906047,147959489,2053442,1571317180035,1605042020295,33724840260
048260,오스템임플란트,36799373,37199951,400578,1477708458200,1480503916950,2795458750
048410,현대바이오,527865797,527618394,-247403,8430291812920,8435654306240,5362493320
048430,유라테크,144935608,144967457,31849,1603543347805,1605494505305,1951157500
048470,대동스틸,32002199,32019547,17348,177907561650,178288221505,380659855
048530,인트론바이오,183821054,184856989,1035935,2866737314910,2884036231580,17298916670
048550,SM C&C,276288692,276609926,321234,473497694746,474030592705,532897959
048770,TPC,32060633,32200944,140311,121353427065,121829482300,476055235
048830,엔피케이,64750706,64602829,-147877,115805124817,115618678706,-186446111
048870,시너지이노베이션,458178513,462530540,4352027,1582780441565,1597053398685,14272957120
048910,대원미디어,42243453,42597238,353785,294707845055,296453763740,1745918685
049070,인탑스,44080840,43563817,-517023,639364118270,617583432440,-21780685830
049080,기가레인,411939781,408966550,-2973231,728303752481,722264789425,-6038963056
049120,파인디앤씨,60407016,60543679,136663,114132528591,114601743716,469215125
049180,셀루메드,25287523,26529856,1242333,41496237923,43658618574,2162380651
049430,코메론,9711110,9621192,-89918,85936889630,85759709370,-177180260
049470,SGA,210369495,208969022,-1400473,186898132194,185999275883,-898856311
049480,오픈베이스,658245916,657522266,-723650,2292850048180,2292943805630,93757450
049520,유아이엘,12915814,13905418,989604,53190369250,57261827630,4071458380
049550,잉크테크,12912424,12996310,83886,45006199515,45327209340,321009825
049630,재영솔루텍,282383379,282797181,413802,261644731836,262184851983,540120147
049720,고려신용정보,20669267,21872886,1203619,115319413000,122104218030,6784805030
049830,승일,35992300,36049815,57515,392224769210,393512678670,1287909460
049950,미래컴퍼니,22240159,22634405,394246,744794894000,757283283650,12488389650
049960,쎌바이오텍,13623222,13606556,-16666,244869520350,245190765300,321244950
050090,휘닉스소재,1177137573,1176815131,-322442,1230805606667,1231978256965,1172650298
050110,캠시스,764847438,770820086,5972648,2315470960905,2333721291065,18250330160
050120,라이브플렉스,672436834,683724048,11287214,632199674235,641302287026,9102612791
050540,한국코퍼레이션,111015381,117493103,6477722,62510158181,67030239453,4520081272
050760,에스폴리텍,139391894,140100282,708388,914546605510,919171016295,4624410785
050860,아세아텍,143268307,143342919,74612,549928691555,551306286615,1377595060
050890,쏠리드,763549487,766178804,2629317,6554978068340,6572957457930,17979389590
050960,수산아이앤티,31785081,31781180,-3901,361484607970,362337221675,852613705
051160,지어소프트,132693978,133021224,327246,1523694603830,1528668677990,4974074160
051360,토비스,82374349,83064878,690529,652967594080,658881002670,5913408590
051370,인터플렉스,78639858,78513630,-126228,1090588118960,1085159868170,-5428250790
051380,피씨디렉트,111499216,111129279,-369937,1272312977560,1269937191285,-2375786275
051390,YW,6172630,5878793,-293837,23445398575,22453007075,-992391500
051490,나라엠앤디,328506401,329228723,722322,3434416849875,3441589619000,7172769125
051500,CJ프레시웨이,13776063,15869953,2093890,248958396150,287109535250,38151139100
051780,큐로홀딩스,200180586,206538743,6358157,198649488591,203893500739,5244012148
051980,센트럴바이오,441659232,441801426,142194,586934740780,588600474948,1665734168
052020,에스티큐브,91735358,93087689,1352331,964540441170,979580662180,15040221010
052190,이에스에이,246487641,243071580,-3416061,296504154949,293731491254,-2772663695
052220,iMBC,98378467,98334448,-44019,297440828150,298049308850,608480700
052260,현대바이오랜드,427655961,427883794,227833,13240403313550,13262965281450,22561967900
052300,W홀딩컴퍼니,2427488110,2468058642,40570532,845313642270,860371852298,15058210028
052330,코텍,10102205,11428472,1326267,93809849220,106417438400,12607589180
052400,코나아이,20875496,20608100,-267396,458111367950,455236976400,-2874391550
052420,오성첨단소재,2404265952,2410859100,6593148,9196867573670,9224013200115,27145626445
052460,아이크래프트,403538824,402896031,-642793,1834981054440,1834714190430,-266864010
052600,한네트,508554178,509175036,620858,2826656874840,2829953229205,3296354365
052670,제일바이오,646678123,647104764,426641,5580924764335,5588588208120,7663443785
052710,아모텍,31828850,31186795,-642055,888117364800,864164756600,-23952608200
052770,아이톡시,6071051,6338508,267457,4680733356,4907309541,226576185
052790,액토즈소프트,42330189,42378221,48032,597814607430,601127592380,3312984950
052860,아이앤씨,120394196,121420367,1026171,591041511290,596304820935,5263309645
052900,KMH하이텍,1225697421,1228698999,3001578,2139573454268,2145178116019,5604661751
053030,바이넥스,584163426,584971619,808193,13085909462230,13124890897840,38981435610
053050,지에스이,347989382,347593881,-395501,654045047097,653417934375,-627112722
053060,세동,165559427,164974652,-584775,128919207381,128599438960,-319768421
053080,원방테크,11981231,12731724,750493,575262490400,609106273350,33843782950
053110,소리바다,866015649,888244813,22229164,511849473269,522644373620,10794900351
053160,프리엠스,58457195,58387729,-69466,636191660545,637387227320,1195566775
053260,금강철강,5882448,6874475,992027,18666006470,21623525725,2957519255
053270,구영테크,172448134,172333413,-114721,290426866049,290758545288,331679239
053280,예스24,97005506,98247076,1241570,1291750876370,1303242070995,11491194625
053290,NE능률,278494606,281112715,2618109,1025022708605,1035886017775,10863309170
053300,한국정보인증,612118494,613418902,1300408,4780040800625,4793515267140,13474466515
053350,이니텍,20551264,20783230,231966,96890035595,97324868265,434832670
053450,세코닉스,65818008,66462588,644580,403805270530,408360139620,4554869090
053580,웹케시,10583323,9697671,-885652,602016775600,551441767500,-50575008100
053590,한국테크놀로지,518851069,522424736,3573667,645444915184,651173903550,5728988366
053610,프로텍,55396847,55680931,284084,1306423696530,1321518271530,15094575000
053620,태양,2640632,2609545,-31087,22301221180,22038962090,-262259090
053660,현진소재,196979150,202907096,5927946,145665618496,150642573434,4976954938
053700,삼보모터스,118435847,119091655,655808,725925349490,729847230060,3921880570
053800,안랩,40050879,40229510,178631,2608884908800,2622161217950,13276309150
053950,경남제약,105498789,105556069,57280,963706258910,966253430755,2547171845
053980,오상자이엘,339852175,340815322,963147,4010968058020,4019954202460,8986144440
054040,한국컴퓨터,123238116,123262228,24112,385982427555,386283335355,300907800
054050,농우바이오,23452625,23974817,522192,246995235170,252739069960,5743834790
054090,삼진엘앤디,596557334,595568121,-989213,1937590465525,1936772711185,-817754340
054180,메디콕스,806301522,808847543,2546021,1876864300116,1883453327264,6589027148
054210,이랜텍,237417557,239591826,2174269,1364781183365,1374652302710,9871119345
054220,비츠로시스,99269928,99764364,494436,65989653359,66423556358,433902999
054300,팬스타엔터프라이즈,274864113,274329575,-534538,263892035818,263952678028,60642210
054340,피앤텔,15275509,15384069,108560,16093220940,16216738571,123517631
054410,케이피티유,26317757,26303516,-14241,179150653520,179308025815,157372295
054450,텔레칩스,238578192,241255862,2677670,3035867548135,3062522454235,26654906100
054540,삼영엠텍,103770016,101651018,-2118998,513478856290,504154708575,-9324147715
054620,APS홀딩스,66454624,67831221,1376597,597273897515,610653537000,13379639485
054630,에이디칩스,776735123,779093792,2358669,797790865119,801547097058,3756231939
054670,대한뉴팜,170461452,170401389,-60063,2164040509940,2165619328810,1578818870
054780,키이스트,1026044503,1027615627,1571124,4331907556490,4338044698595,6137142105
054800,아이디스홀딩스,2525373,2807901,282528,33405583870,36412236030,3006652160
054920,한컴위드,96758014,97338566,580552,380519131575,383688664235,3169532660
054930,유신,7304584,7323832,19248,120432405660,120907764210,475358550
054940,엑사이엔씨,395935973,397336783,1400810,594829621345,597298991993,2469370648
054950,제이브이엠,12556114,13079778,523664,414136671150,429112383800,14975712650
056000,네스엠,155531868,157694265,2162397,519450484270,530872644389,11422160119
056080,유진로봇,141136453,141321381,184928,388645213645,389387115970,741902325
056090,유앤아이,16935456,17205856,270400,90906018300,92385936605,1479918305
056190,에스에프에이,30918657,32913167,1994510,1119514637200,1183188751100,63674113900
056360,코위버,72628376,72645712,17336,732278836490,733260326050,981489560
056700,신화인터텍,152311137,154387118,2075981,455438041300,462982684895,7544643595
056730,CNT85,829894,821925,-7969,447148288,443239622,-3908666
057030,YBM넷,1262906256,1263504786,598530,10628168832700,10635121077785,6952245085
057500,SKC 솔믹스,223966749,214406695,-9560054,1070618563505,1000069365980,-70549197525
057540,옴니시스템,1153077650,1154128987,1051337,3113372709795,3119011656910,5638947115
057680,티사이언티픽,162774823,162807561,32738,488595965099,489623140115,1027175016
057880,필로시스헬스케어,1688351550,1704675973,16324423,7422677254426,7495980828513,73303574087
058110,멕아이씨에스,145331102,145576250,245148,3095702321015,3103128292245,7425971230
058220,아리온,137638155,139265380,1627225,95758157898,98071957414,2313799516
058400,KNN,3977569446,3995249932,17680486,7375308225572,7405148364107,29840138535
058420,제이웨이,73025112,76744006,3718894,72911726339,75510911795,2599185456
058450,일야,63558747,62977571,-581176,81764580384,81105408016,-659172368
058470,리노공업,8083482,8650066,566584,904815579000,974645335900,69829756900
058530,슈펙스비앤피,2356587465,2392041693,35454228,648311399489,658337968116,10026568627
058610,에스피지,36333224,36161206,-172018,242279939845,241255632840,-1024307005
058630,엠게임,203228428,202636133,-592295,1054215228560,1052054058620,-2161169940
058820,CMG제약,1114170851,1105785125,-8385726,5194180426660,5166629689815,-27550736845
058970,엠로,453159,292065,-161094,18236421175,11699350950,-6537070225
059090,미코,1318364148,1315841450,-2522698,13694765173140,13665288311040,-29476862100
059100,아이컴포넌트,5522287,5545163,22876,22520230375,22700154125,179923750
059120,아진엑스텍,21715406,21563004,-152402,144354821485,143019217690,-1335603795
059210,메타바이오메드,107511874,106899039,-612835,308807524040,308056580960,-750943080
059270,해성에어로보틱스,5801541,5672505,-129036,81585247875,80025928535,-1559319340
060150,인선이엔티,239009095,240587308,1578213,2251715844570,2268821073280,17105228710
060230,이그잭스,346904416,349618892,2714476,597079507240,603104006090,6024498850
060240,룽투코리아,116858778,119575114,2716336,594963886220,611532344450,16568458230
060250,NHN한국사이버결제,94032418,90166706,-3865712,4326640589400,4156975385450,-169665203950
060260,뉴보텍,474160558,474847966,687408,806583831507,808225016763,1641185256
060280,큐렉소,34902923,34284279,-618644,211184932950,208132412400,-3052520550
060310,3S,47398099,47531138,133039,110222395170,110635008500,412613330
060370,KT서브마린,253990610,254064214,73604,1399265510805,1401375890420,2110379615
060380,동양에스텍,4114404,4047275,-67129,11306069495,11156854180,-149215315
060480,국일신동,105085879,105148606,62727,462894598730,464153288560,1258689830
060540,에스에이티,200593357,200839745,246388,505793949045,506514317450,720368405
060560,홈센타홀딩스,151941728,152682887,741159,204080667771,205760152141,1679484370
060570,드림어스컴퍼니,94410501,96055235,1644734,565254137160,574974198460,9720061300
060590,씨티씨바이오,176875608,178561381,1685773,1401137196590,1418177607370,17040410780
060720,KH바텍,174009836,175034269,1024433,3686110937300,3701165827500,15054890200
060850,영림원소프트랩,59414373,60967299,1552926,972381628950,999514324750,27132695800
060900,대한그린파워,661372997,679789071,18416074,669338620436,687766337495,18427717059
061040,알에프텍,381979319,388055362,6076043,3811164226070,3872843605460,61679379390
061090,세나테크놀로지,616855,646291,29436,29177002475,30546752450,1369749975
061250,화일약품,605108961,605911505,802544,6827177685935,6839574423960,12396738025
061970,엘비세미콘,827986838,820878500,-7108338,7648699435195,7574289019365,-74410415830
062860,티엘아이,12472214,11904993,-567221,85885794770,83171334440,-2714460330
062970,피피아이,120733151,121344631,611480,1241345475840,1246961383780,5615907940
063080,게임빌,9074366,9213449,139083,279933474100,284125053250,4191579150
063170,서울옥션,63001622,62580028,-421594,365302226015,362359624070,-2942601945
063440,SM Life Design,909214517,911349504,2134987,1829436188843,1835023730884,5587542041
063570,한국전자금융,76069714,79307122,3237408,526955558895,546273478585,19317919690
063760,이엘피,10064384,9980613,-83771,96741068360,95715543290,-1025525070
064090,에프앤리퍼블릭,171401244,174867392,3466148,99659429549,101666876602,2007447053
064240,홈캐스트,51574558,51567161,-7397,191932622195,192150152385,217530190
064260,다날,1264289346,1271902226,7612880,5607574848105,5645219797140,37644949035
064290,인텍플러스,84042435,82421904,-1620531,900921067200,880264237250,-20656829950
064480,브리지텍,78200166,77728143,-472023,275560538980,275119875785,-440663195
064510,에코마이스터,282077718,283844223,1766505,650649924880,654403466975,3753542095
064520,테크엘,7495758,7454171,-41587,15161439329,15090933338,-70505991
064550,바이오니아,394415495,397010940,2595445,5628842351630,5645693592870,16851241240
064760,티씨케이,7866961,7432666,-434295,679066278900,639674785900,-39391493000
064800,젬백스링크,947149895,947399973,250078,1467296563861,1468524898103,1228334242
064820,케이프,393377807,388960662,-4417145,1552093245070,1536371585690,-15721659380
064850,에프앤가이드,10463395,11247596,784201,128102961160,140037714970,11934753810
065060,지엔코,656099388,655548636,-550752,1008926986350,1009366868638,439882288
065130,탑엔지니어링,137823502,138259185,435683,1384004322580,1388495762970,4491440390
065150,MP그룹,61219087,66779579,5560492,86362278295,93595784620,7233506325
065170,넥스트BT,1084693951,1095119452,10425501,2323260425499,2346868635028,23608209529
065350,신성델타테크,453016895,454466246,1449351,3049917087560,3058385829970,8468742410
065370,위세아이텍,19759486,20072730,313244,308992443570,314629028710,5636585140
065420,에스아이리소스,11398281,11339970,-58311,2272618957,2281393919,8774962
065440,이루온,170060263,170151041,90778,252307686019,252863933084,556247065
065450,빅텍,2623997613,2626026622,2029009,16851535347900,16869520577405,17985229505
065500,오리엔트정공,1650080016,1662017757,11937741,1174930331558,1181614819357,6684487799
065510,휴비츠,19233962,18883395,-350567,149976816745,146507333385,-3469483360
065530,전파기지국,715224192,716005724,781532,3534871483890,3539634948870,4763464980
065560,녹원씨엔아이,22508834,22691980,183146,140728475005,142485154130,1756679125
065570,삼영이엔씨,15277136,14405551,-871585,110605558165,104280091270,-6325466895
065620,제낙스,84531510,84439834,-91676,506004953425,508058841225,2053887800
065650,메디프론,127253087,127213025,-40062,583203932465,584295535365,1091602900
065660,안트로젠,61026453,61425997,399544,3312785730450,3318536535700,5750805250
065680,우주일렉트로,31099677,31437148,337471,657297896210,652903339660,-4394556550
065690,파커스,40733710,40576543,-157167,116546825815,116105786635,-441039180
065710,서호전기,5518844,5609058,90214,118561277950,120563841500,2002563550
065770,CS,37208187,37229940,21753,97946385130,98071505880,125120750
065940,바이오빌,207572282,208878692,1306410,20432446016,20590611527,158165511
065950,웰크론,2203001317,2205309771,2308454,16342065644835,16358466953530,16401308695
066110,한프,255724969,251802364,-3922605,141072548567,139712828523,-1359720044
066130,하츠,103664346,103331159,-333187,716924323695,714228996335,-2695327360
066310,큐에스아이,25866720,25757496,-109224,408801738290,406025033170,-2776705120
066360,체리부로,137916966,138811571,894605,356085112300,359119509370,3034397070
066410,버킷스튜디오,170248441,172043186,1794745,333313262490,337052224682,3738962192
066430,와이오엠,119837432,119791898,-45534,286734738480,286956675883,221937403
066590,우수AMS,692561279,698080674,5519395,4221218744165,4278545179760,57326435595
066620,국보디자인,4011833,4143028,131195,63135198290,65154963000,2019764710
066670,디스플레이텍,16352814,15611136,-741678,58253829385,55667082945,-2586746440
066700,테라젠이텍스,364626250,365018063,391813,4133777817130,4142781877480,9004060350
066900,디에이피,26457049,26296169,-160880,90390798675,90353918945,-36879730
066910,손오공,602769302,602643845,-125457,1215272193690,1216669532025,1397338335
066970,엘앤에프,155636695,153355976,-2280719,6318822488200,6258079110000,-60743378200
066980,브레인콘텐츠,577619852,581202304,3582452,369746314179,371980132229,2233818050
067000,조이시티,39668783,39829502,160719,655221805310,656335202130,1113396820
067010,이씨에스,635658655,636608885,950230,3623201453785,3627380229095,4178775310
067080,대화제약,138348691,139546628,1197937,2181634990500,2201223542110,19588551610
067160,아프리카TV,26707269,27508769,801500,1591848026750,1633342669100,41494642350
067170,오텍,328948379,330714896,1766517,4921119360070,4944467267430,23347907360
067280,멀티캠퍼스,3958402,4090230,131828,133103511200,137427470900,4323959700
067290,JW신약,208573622,209366666,793044,1165093861205,1173189371470,8095510265
067310,하나마이크론,340386611,342078180,1691569,2395239899605,2399260175800,4020276195
067370,선바이오,286719,280579,-6140,1587999140,1556823670,-31175470
067390,아스트,115865722,119064162,3198440,587131148255,600915696515,13784548260
067570,엔브이에이치코리아,272381920,277611314,5229394,1036574556205,1054956711420,18382155215
067630,에이치엘비생명과학,333956447,331388653,-2567794,8069140798250,8025835831700,-43304966550
067730,로지시스,121410232,121929938,519706,597145930475,599297471485,2151541010
067770,세진티에스,27986333,27535020,-451313,100009722915,97961501310,-2048221605
067900,와이엔텍,84742869,85495841,752972,1032037975930,1042188652460,10150676530
067920,이글루시큐리티,11181541,10773514,-408027,52930179220,51535502360,-1394676860
067990,도이치모터스,87879471,88460571,581100,617879804930,621951499155,4071694225
068050,팬엔터테인먼트,111378413,108816750,-2561663,605267482390,594167978660,-11099503730
068100,케이웨더,1509819,1359554,-150265,4965627860,4498594744,-467033116
068240,다원시스,98233576,97632356,-601220,1800840867400,1787464913600,-13375953800
068330,일신바이오,2365303020,2367259541,1956521,14181719508445,14191808161435,10088652990
068760,셀트리온제약,279064587,278054650,-1009937,34067915331400,33971641764550,-96273566850
068790,DMS,132896492,134076948,1180456,1046284458830,1054450408600,8165949770
068930,디지털대성,43013819,43553904,540085,339288331070,342057073170,2768742100
068940,아이씨케이,141596458,144489698,2893240,464849961731,475030784207,10180822476
069080,웹젠,119384821,117733514,-1651307,3321084480290,3263261694330,-57822785960
069110,코스온,23560064,24699696,1139632,121825848100,127492469350,5666621250
069140,누리플랜,32560548,33688368,1127820,190979708120,197994788230,7015080110
069330,유아이디,5461509,6207339,745830,8596328644,9356164288,759835644
069410,엔텔스,26892548,26779689,-112859,270398994405,270106753645,-292240760
069510,에스텍,4933597,5215712,282115,49879911010,52361699480,2481788470
069540,빛과전자,49142380,49390956,248576,64226453147,64740285896,513832749
069920,아이에스이커머스,3048734,2885432,-163302,12245285110,11637145055,-608140055
070300,엑스큐어,29869762,30091502,221740,223436453445,226754656500,3318203055
070590,한솔인티큐브,66771731,67710384,938653,248342605580,253531506765,5188901185
071200,인피니트헬스케어,161765216,161998768,233552,1178865626030,1180940506740,2074880710
071280,로체시스템즈,61532099,62526063,993964,341003586620,346695709645,5692123025
071460,위니아딤채,40538766,40772987,234221,112887323585,113302710325,415386740
071670,에이테크솔루션,82175140,82168529,-6611,812261702620,813194071650,932369030
071850,캐스텍코리아,43292164,43630423,338259,133508321490,134782247770,1273926280
072020,중앙백신,48607221,48637687,30466,862625930950,865363667250,2737736300
072470,우리산업홀딩스,74247475,74223948,-23527,425092500820,424968105595,-124395225
072520,제넨바이오,1732144830,1744076493,11931663,5612811944319,5644947047646,32135103327
072770,율호,212542445,212321520,-220925,334510713190,334561801065,51087875
072870,메가스터디,74948640,75847707,899067,871266316290,882933189880,11666873590
072950,빛샘전자,29350326,29144856,-205470,167703005440,166586864675,-1116140765
072990,에이치시티,13431390,13280891,-150499,154830442910,152645083840,-2185359070
073010,케이에스피,148579107,148897875,318768,250816384833,251992774641,1176389808
073070,에스모,984439520,1008747548,24308028,738837017236,752300562800,13463545564
073110,엘엠에스,87972440,88826507,854067,1114362941470,1127282840450,12919898980
073190,듀오백,17200322,16896828,-303494,44964405135,44088770830,-875634305
073490,이노와이어리스,57584778,57313144,-271634,2818190902450,2807336787300,-10854115150
073540,에프알텍,44611054,44796393,185339,250064784150,250731103515,666319365
073560,우리손에프앤지,594233473,593118718,-1114755,1241969063342,1240332742691,-1636320651
073570,WI,140059677,143131572,3071895,289900644915,296040034335,6139389420
073640,테라사이언스,137470751,136332055,-1138696,287399162750,285302570570,-2096592180
074430,아미노로직스,528945090,528739934,-205156,1379961602715,1381104532625,1142929910
074600,원익QnC,120434089,122207951,1773862,1849462458920,1862690580380,13228121460
075130,플랜티넷,22175009,22005104,-169905,119590289160,119044439305,-545849855
075970,동국알앤에스,188237538,188476515,238977,556832044190,558057814630,1225770440
076080,웰크론한텍,456570749,456309217,-261532,1435421639453,1436301952423,880312970
076610,해성옵틱스,217110953,217824419,713466,418241705303,420332237684,2090532381
077360,덕산하이메탈,37410727,37159994,-250733,327436546940,325678757175,-1757789765
078020,이베스트투자증권,44694636,43971616,-723020,245919956575,242531412950,-3388543625
078070,유비쿼스홀딩스,43322209,42960010,-362199,1259603432050,1244208631800,-15394800250
078130,국일제지,1259880088,1262871004,2990916,7150894600150,7179013215075,28118614925
078140,대봉엘에스,60761076,61004791,243715,607644377330,612270471685,4626094355
078150,HB테크놀러지,252330338,263465692,11135354,609295384905,634749373730,25453988825
078160,메디포스트,60192789,60279740,86951,1917148320650,1918078181650,929861000
078340,컴투스,12179441,12991777,812336,1539063624900,1654803046800,115739421900
078350,한양디지텍,20259194,20343693,84499,114109962695,114361310635,251347940
078590,OQP,682036930,691878649,9841719,2472211287820,2506416551686,34205263866
078600,대주전자재료,111746497,111977588,231091,3863756121300,3873359510380,9603389080
078650,코렌,193116621,199010497,5893876,228194032132,238298214135,10104182003
078860,아이오케이,180332385,183740207,3407822,354854708273,361512958512,6658250239
078890,가온미디어,39041959,39470127,428168,240619994250,244024606235,3404611985
078940,코드네이처,31487145,32377250,890105,58078620155,60349173875,2270553720
079000,와토스코리아,7888370,7843417,-44953,45931478665,45694733575,-236745090
079170,한창산업,27671536,27779576,108040,211603203760,212360175775,756972015
079190,케스피온,14932234,14721320,-210914,7128806317,7065614955,-63191362
079370,제우스,43461251,42445415,-1015836,725677658440,699853097110,-25824561330
079650,서산,48860134,48858056,-2078,132813535995,133022739240,209203245
079810,디이엔티,55754846,56483410,728564,412474298185,417906899190,5432601005
079940,가비아,160856395,161204960,348565,2403948921880,2410798104670,6849182790
079950,인베니아,96098063,95147826,-950237,240299391995,237415549335,-2883842660
079960,동양이엔피,19033826,19862978,829152,267273621600,278585884280,11312262680
079970,투비소프트,382375354,382510479,135125,986704079325,988089694020,1385614695
080000,에스엔유,133905849,134108593,202744,542847186090,543757052330,909866240
080010,이상네트웍스,2495440,2720954,225514,16669368930,18280886010,1611517080
080160,모두투어,85441987,89317245,3875258,1253174739140,1299576036890,46401297750
080220,제주반도체,238461203,240357768,1896565,909986834530,918195633455,8208798925
080420,모다이노칩,199725619,199370480,-355139,802004030345,800922320160,-1081710185
080440,에스제이케이,38379921,39795647,1415726,29725021621,30825836195,1100814574
080470,성창오토텍,80163934,80254889,90955,743141913740,745465095990,2323182250
080520,오디텍,80849928,80967988,118060,413652461440,414861750270,1209288830
080530,코디,57082071,58420356,1338285,123422963220,126890767065,3467803845
080580,오킨스전자,22455797,23649332,1193535,266285024840,281334951805,15049926965
080720,한국유니온제약,333010637,333522190,511553,6233855606820,6244518822230,10663215410
081150,티플랙스,973315241,974018777,703536,3524634159150,3529362609735,4728450585
081180,쎄크,7767836,8041738,273902,133738706835,138320330410,4581623575
081580,성우전자,42142239,41921307,-220932,110559715755,110081664480,-478051275
082210,옵트론텍,212077276,212438196,360920,1493990959290,1487400280080,-6590679210
082270,젬백스,202115580,203422906,1307326,5328739204100,5364284775850,35545571750
082660,코스나인,112154962,113249028,1094066,197880103954,200334049684,2453945730
082800,비보존 헬스케어,2226414539,2254108269,27693730,4883955583732,4940476532284,56520948552
082850,우리바이오,980037186,980604392,567206,5377745354428,5380375663350,2630308922
082920,비츠로셀,25281586,23362173,-1919413,409260971400,377937227800,-31323743600
083310,엘오티베큠,107840579,108870672,1030093,1536019384170,1549506724660,13487340490
083450,GST,75324223,75800203,475980,1261551331750,1270505207500,8953875750
083470,이엠앤아이,20563724,20291412,-272312,22850432080,22689259057,-161173023
083500,에프엔에스테크,50563343,50681992,118649,514278142700,512777918665,-1500224035
083550,케이엠,386210419,386311552,101133,5600358870290,5600805182570,446312280
083640,인콘,881600455,887541063,5940608,2227578440530,2244291017806,16712577276
083650,비에이치아이,25609957,25407716,-202241,58892030160,58539534190,-352495970
083660,CSA 코스믹,14454647,14887414,432767,45264104100,46746648355,1482544255
083790,크리스탈지노믹스,279788297,283643553,3855256,4395031986760,4466873176240,71841189480
083930,아바코,79991871,79244583,-747288,673126678480,667751335165,-5375343315
084110,휴온스글로벌,9383639,9484474,100835,296493954250,299887791150,3393836900
084180,수성,50145665,50519958,374293,73870471141,74614008226,743537085
084370,유진테크,60082055,59521693,-560362,1477356105100,1471785601800,-5570503300
084440,유비온,4315694,4331131,15437,5127083673,5206080255,78996582
084650,랩지노믹스,784501591,784744470,242879,17966194099500,17967112417535,918318035
084730,팅크웨어,49406838,49368194,-38644,523531407720,524465768970,934361250
084850,아이티엠반도체,71049816,72268012,1218196,3973218869150,4027701209550,54482340400
084990,헬릭스미스,156795662,158122559,1326897,7151189605000,7254009930850,102820325850
085370,루트로닉,82005296,81072302,-932994,599883974510,591503398500,-8380576010
08537M,루트로닉3우C,808803,809209,406,9242640930,9243559730,918800
085660,차바이오텍,212316169,210089711,-2226458,4274234964050,4237456929650,-36778034400
085670,뉴프렉스,109216375,107884884,-1331491,208827734171,206072713329,-2755020842
085810,알티캐스트,182787971,184028713,1240742,395496356683,398212086025,2715729342
085910,네오티스,6135236,6245985,110749,23150846940,23601247215,450400275
086040,바이오톡스텍,418928600,418621666,-306934,5209358415180,5203667706745,-5690708435
086060,진바이오텍,140243579,140002191,-241388,878067729785,877936877110,-130852675
086250,이노와이즈,214791624,222176488,7384864,697145963954,714135171035,16989207081
086390,유니테스트,182059850,185992997,3933147,3467538056130,3540228773190,72690717060
086450,동국제약,15078664,17888381,2809717,664371902650,752557594400,88185691750
