티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금,기준일,데이터소스,비고
009240,한샘,539181,425968,-113213,25500833550,20055016075,-5445817475,,,
009270,신원,14336902,12889339,-1447563,21480021752,19307670593,-2172351159,,,
009275,신원우,2051098,2051610,512,118613685200,118640868350,27183150,,,
009290,광동제약,41931064,42628242,697178,440061334245,448191506855,8130172610,,,
009310,참엔지니어링,1044845,1021501,-23344,1059607953,1040386510,-19221443,,,
009320,아진전자부품,3944424,3709808,-234616,4444059078,4188353890,-255705188,,,
009410,태영건설,6409536,5507467,-902069,11263516479,9691019250,-1572497229,,,
009415,태영건설우,127702,127425,-277,934020300,932135400,-1884900,,,
009420,한올바이오파마,4235276,3741134,-494142,234046620650,205073501450,-28973119200,,,
009440,KC그린홀딩스,69638908,70444922,806014,324165739160,327579148425,3413409265,,,
009450,경동나비엔,817720,654235,-163485,52754059200,41720850250,-11033208950,,,
009460,한창제지,10825254,10796367,-28887,6215863073,6225453261,9590188,,,
009470,삼화전기,2827761,2828826,1065,142196651100,141905270375,-291380725,,,
009540,HD한국조선해양,1069128,1003565,-65563,452456674000,407507668500,-44949005500,,,
009580,무림P&P,802937,780352,-22585,1972544466,1917782570,-54761896,,,
009680,모토닉,299703,402189,102486,3217120795,4322726340,1105605545,,,
009770,삼정펄프,33757,29527,-4230,1152935650,1015232000,-137703650,,,
009810,플레이그램,8471564,8912889,441325,12545245625,13163438205,618192580,,,
009835,한화솔루션우,4387723,4429698,41975,133661004600,135060138500,1399133900,,,
009900,명신산업,1806137,1651346,-154791,16825378055,15334344450,-1491033605,,,
009970,영원무역홀딩스,48182,25058,-23124,10649664150,5557531350,-5092132800,,,
010040,한국내화,365399,373778,8379,759874343,777704667,17830324,,,
010050,우리종금,432866077,426694611,-6171466,238791271286,235593900813,-3197370473,,,
010060,OCI홀딩스,2895166,2693350,-201816,421464285200,394073498950,-27390786250,,,
010100,한국무브넥스,5778422,5648642,-129780,31364315380,30731083640,-633231740,,,
010120,LS ELECTRIC,1197549,1034890,-162659,757892345000,652581174500,-105311170500,,,
010130,고려아연,285297,270188,-15109,495489620000,459482348000,-36007272000,,,
010140,삼성중공업,25499234,28461616,2962382,724559642975,805459784775,80900141800,,,
