date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source,foreign_ratio,personal_net_buy,inst_net_value,foreign_net_value
2022-04-14,60100.0,290781.0,0.0,0.0,-0.0,0.0,-0.052546,0.0,ohlcv_proxy,,,,
2022-04-15,59300.0,224599.0,0.0,0.0,-0.0,0.0,-0.067046,0.0,ohlcv_proxy,,,,
2022-04-18,59300.0,148654.0,0.0,0.0,-0.0,0.0,-0.073974,0.0,ohlcv_proxy,,,,
2022-04-19,59600.0,183875.0,0.0,0.0,-0.0,0.0,-0.076468,0.0,ohlcv_proxy,,,,
2022-04-20,59100.0,178562.0,0.0,0.0,-0.0,0.0,-0.079731,0.0,ohlcv_proxy,,,,
2022-04-21,60100.0,218549.0,0.0,0.0,-0.0,0.0,-0.078303,0.0,ohlcv_proxy,,,,
2022-04-22,60900.0,192992.0,0.0,0.0,-0.0,0.0,-0.060366,0.0,ohlcv_proxy,,,,
2022-04-25,59200.0,194776.0,0.0,0.0,-0.0,0.0,-0.055095,0.0,ohlcv_proxy,,,,
2022-04-26,59700.0,230582.0,0.0,0.0,-0.0,0.0,-0.049269,0.0,ohlcv_proxy,,,,
2022-04-27,58900.0,175788.0,0.0,0.0,-0.0,0.0,-0.045685,0.0,ohlcv_proxy,,,,
2022-04-28,61000.0,495645.0,0.0,0.0,-0.0,0.1,-0.034574,0.0,ohlcv_proxy,,,,
2022-04-29,60300.0,255010.0,0.0,0.0,-0.0,0.1,-0.031474,0.0,ohlcv_proxy,,,,
2022-05-02,59600.0,288152.0,0.0,0.0,-0.0,0.1,-0.02549,0.0,ohlcv_proxy,,,,
2022-05-03,55400.0,1329322.0,0.0,0.0,-0.0,0.0,-0.043763,0.1,ohlcv_proxy,,,,
2022-05-04,55700.0,344316.0,0.0,0.0,-0.0,0.0,-0.037697,0.1,ohlcv_proxy,,,,
2022-05-06,54500.0,530864.0,0.0,0.0,-0.0,-0.1,-0.043626,0.1,ohlcv_proxy,,,,
2022-05-09,53100.0,523795.0,0.0,0.0,-0.0,-0.2,-0.045433,0.1,ohlcv_proxy,,,,
2022-05-10,52700.0,487668.0,0.0,0.0,-0.0,-0.2,-0.050374,0.1,ohlcv_proxy,,,,
2022-05-11,52500.0,257025.0,0.0,0.0,-0.0,-0.2,-0.059154,0.1,ohlcv_proxy,,,,
2022-05-12,51400.0,361915.0,0.0,0.0,-0.0,-0.2,-0.064942,0.1,ohlcv_proxy,,,,
2022-05-13,52600.0,176978.0,0.0,0.0,-0.0,-0.3,-0.069268,0.1,ohlcv_proxy,,,,
2022-05-16,51400.0,151277.0,0.0,0.0,-0.0,-0.3,-0.071686,0.1,ohlcv_proxy,,,,
2022-05-17,51400.0,345243.0,0.0,0.0,-0.0,-0.3,-0.073821,0.1,ohlcv_proxy,,,,
2022-05-18,50100.0,330083.0,0.0,0.0,-0.0,-0.2,-0.07745,0.0,ohlcv_proxy,,,,
2022-05-19,49500.0,362282.0,0.0,0.0,-0.0,-0.2,-0.080073,0.0,ohlcv_proxy,,,,
2022-05-20,49650.0,252517.0,0.0,0.0,-0.0,-0.1,-0.082029,0.0,ohlcv_proxy,,,,
2022-05-23,49450.0,214587.0,0.0,0.0,-0.0,0.0,-0.080936,0.0,ohlcv_proxy,,,,
2022-05-24,49500.0,339744.0,0.0,0.0,-0.0,0.0,-0.083025,0.0,ohlcv_proxy,,,,
2022-05-25,51000.0,293929.0,0.0,0.0,-0.0,0.0,-0.074877,0.0,ohlcv_proxy,,,,
2022-05-26,50600.0,238313.0,0.0,0.0,-0.0,0.0,-0.066891,0.0,ohlcv_proxy,,,,
2022-05-27,50900.0,299503.0,0.0,0.0,-0.0,0.0,-0.051396,0.0,ohlcv_proxy,,,,
2022-05-30,51700.0,234172.0,0.0,0.0,-0.0,0.0,-0.039222,0.0,ohlcv_proxy,,,,
2022-05-31,52300.0,197466.0,0.0,0.0,-0.0,0.0,-0.023176,0.0,ohlcv_proxy,,,,
2022-06-02,50600.0,375311.0,0.0,0.0,-0.0,0.0,-0.011805,0.0,ohlcv_proxy,,,,
2022-06-03,51000.0,210842.0,0.0,0.0,-0.0,0.0,-0.005629,0.0,ohlcv_proxy,,,,
2022-06-07,50200.0,246277.0,0.0,0.0,-0.0,0.0,-0.001733,0.0,ohlcv_proxy,,,,
2022-06-08,50300.0,233813.0,0.0,0.0,-0.0,0.0,-0.002555,0.0,ohlcv_proxy,,,,
2022-06-09,50000.0,399017.0,0.0,0.0,-0.0,0.0,-0.006437,0.0,ohlcv_proxy,,,,
2022-06-10,50900.0,272084.0,0.0,0.0,-0.0,0.0,-0.004136,0.0,ohlcv_proxy,,,,
2022-06-13,47400.0,445239.0,0.0,0.0,-0.0,-0.1,-0.016354,0.0,ohlcv_proxy,,,,
2022-06-14,46800.0,441423.0,0.0,0.0,-0.0,-0.2,-0.025041,0.0,ohlcv_proxy,,,,
2022-06-15,45850.0,284333.0,0.0,0.0,-0.0,-0.2,-0.033456,0.0,ohlcv_proxy,,,,
2022-06-16,44950.0,369217.0,0.0,0.0,-0.0,-0.2,-0.047336,0.0,ohlcv_proxy,,,,
2022-06-17,44450.0,356305.0,0.0,0.0,-0.0,-0.2,-0.062161,0.0,ohlcv_proxy,,,,
2022-06-20,42000.0,502482.0,0.0,0.0,-0.0,-0.3,-0.078423,0.0,ohlcv_proxy,,,,
2022-06-21,42400.0,306237.0,0.0,0.0,-0.0,-0.3,-0.090552,0.0,ohlcv_proxy,,,,
2022-06-22,39800.0,454550.0,0.0,0.0,-0.0,-0.3,-0.103913,0.0,ohlcv_proxy,,,,
2022-06-23,38250.0,520490.0,0.0,0.0,-0.0,-0.4,-0.119413,0.0,ohlcv_proxy,,,,
2022-06-24,40000.0,276224.0,0.0,0.0,-0.0,-0.4,-0.126249,0.0,ohlcv_proxy,,,,
2022-06-27,40800.0,163338.0,0.0,0.0,-0.0,-0.3,-0.1302,0.0,ohlcv_proxy,,,,
2022-06-28,41800.0,177416.0,0.0,0.0,-0.0,-0.2,-0.1295,0.0,ohlcv_proxy,,,,
2022-06-29,41000.0,166412.0,0.0,0.0,-0.0,-0.2,-0.120217,0.0,ohlcv_proxy,,,,
2022-06-30,41450.0,291364.0,0.0,0.0,-0.0,-0.2,-0.08607,0.0,ohlcv_proxy,,,,
2022-07-01,42150.0,329633.0,0.0,0.0,-0.0,-0.2,-0.063191,0.0,ohlcv_proxy,,,,
2022-07-04,39200.0,435558.0,0.0,0.0,-0.0,-0.1,-0.066189,0.0,ohlcv_proxy,,,,
2022-07-05,40300.0,231534.0,0.0,0.0,-0.0,-0.1,-0.063214,0.0,ohlcv_proxy,,,,
2022-07-06,38500.0,236659.0,0.0,0.0,-0.0,-0.1,-0.062845,0.0,ohlcv_proxy,,,,
2022-07-07,40150.0,194986.0,0.0,0.0,-0.0,0.0,-0.057389,0.0,ohlcv_proxy,,,,
2022-07-08,40250.0,235758.0,0.0,0.0,-0.0,0.0,-0.059013,0.0,ohlcv_proxy,,,,
2022-07-11,39300.0,253651.0,0.0,0.0,-0.0,0.0,-0.045826,0.0,ohlcv_proxy,,,,
2022-07-12,38300.0,292156.0,0.0,0.0,-0.0,0.0,-0.044321,0.0,ohlcv_proxy,,,,
2022-07-13,38650.0,173655.0,0.0,0.0,-0.0,0.0,-0.035786,0.0,ohlcv_proxy,,,,
2022-07-14,38450.0,212415.0,0.0,0.0,-0.0,0.0,-0.034743,0.0,ohlcv_proxy,,,,
2022-07-15,37800.0,266318.0,0.0,0.0,-0.0,0.0,-0.038541,0.0,ohlcv_proxy,,,,
2022-07-18,39300.0,137794.0,0.0,0.0,-0.0,0.0,-0.035819,0.0,ohlcv_proxy,,,,
2022-07-19,39350.0,110356.0,0.0,0.0,-0.0,0.0,-0.028146,0.0,ohlcv_proxy,,,,
2022-07-20,40250.0,321036.0,0.0,0.0,-0.0,0.0,-0.015998,0.0,ohlcv_proxy,,,,
2022-07-21,40050.0,131691.0,0.0,0.0,-0.0,0.0,-0.013507,0.0,ohlcv_proxy,,,,
2022-07-22,40000.0,110364.0,0.0,0.0,-0.0,0.0,0.001431,0.0,ohlcv_proxy,,,,
2022-07-25,40100.0,138295.0,0.0,0.0,-0.0,0.0,0.005527,0.0,ohlcv_proxy,,,,
2022-07-26,40150.0,132127.0,0.0,0.0,-0.0,0.0,0.010037,0.0,ohlcv_proxy,,,,
2022-07-27,40500.0,133853.0,0.0,0.0,0.0,0.0,0.011199,0.0,ohlcv_proxy,,,,
2022-07-28,39800.0,200322.0,0.0,0.0,-0.0,0.0,0.012062,0.0,ohlcv_proxy,,,,
2022-07-29,40550.0,214247.0,0.0,0.0,0.0,0.0,0.019358,0.0,ohlcv_proxy,,,,
