date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source,foreign_ratio
2019-07-18,68200.0,74720.0,0.0,0.0,-0.0,0.0,-0.027377,0.0,ohlcv_proxy,
2019-07-19,70800.0,72891.0,0.0,0.0,0.0,0.0,-0.018773,0.0,ohlcv_proxy,
2019-07-22,68700.0,75922.0,0.0,0.0,-0.0,0.0,-0.015993,0.0,ohlcv_proxy,
2019-07-23,70800.0,117049.0,0.0,0.0,0.0,0.0,-0.008247,0.0,ohlcv_proxy,
2019-07-24,68600.0,110432.0,0.0,0.0,-0.0,0.0,-0.002579,0.0,ohlcv_proxy,
2019-07-25,67300.0,94155.0,0.0,0.0,-0.0,0.0,-0.002769,0.0,ohlcv_proxy,
2019-07-26,67800.0,65813.0,0.0,0.0,-0.0,0.0,-0.005834,0.0,ohlcv_proxy,
2019-07-29,57000.0,647014.0,0.0,0.0,-0.0,-0.1,-0.065224,0.1,ohlcv_proxy,
2019-07-30,60900.0,249174.0,0.0,0.0,-0.0,0.0,-0.069953,0.1,ohlcv_proxy,
2019-07-31,60800.0,130031.0,0.0,0.0,-0.0,0.0,-0.075926,0.1,ohlcv_proxy,
2019-08-01,60800.0,86650.0,0.0,0.0,-0.0,0.0,-0.079496,0.1,ohlcv_proxy,
2019-08-02,61900.0,91563.0,0.0,0.0,-0.0,0.0,-0.076953,0.1,ohlcv_proxy,
2019-08-05,61100.0,140189.0,0.0,0.0,-0.0,0.0,-0.038027,0.1,ohlcv_proxy,
2019-08-06,59100.0,172570.0,0.0,0.0,-0.0,0.0,-0.0382,0.1,ohlcv_proxy,
2019-08-07,60600.0,90993.0,0.0,0.0,-0.0,0.0,-0.034519,0.1,ohlcv_proxy,
2019-08-08,62700.0,113365.0,0.0,0.0,-0.0,0.0,-0.025791,0.1,ohlcv_proxy,
2019-08-09,63600.0,98605.0,0.0,0.0,-0.0,0.0,-0.019918,0.1,ohlcv_proxy,
2019-08-12,67200.0,142832.0,0.0,0.0,0.0,0.1,6.2e-05,0.0,ohlcv_proxy,
2019-08-13,65100.0,116041.0,0.0,0.0,0.0,0.0,0.025859,0.0,ohlcv_proxy,
2019-08-14,64500.0,105651.0,0.0,0.0,0.0,0.0,0.036945,0.0,ohlcv_proxy,
2019-08-16,62300.0,104657.0,0.0,0.0,-0.0,0.0,0.038901,0.0,ohlcv_proxy,
2019-08-19,63800.0,77949.0,0.0,0.0,-0.0,0.0,0.043022,0.0,ohlcv_proxy,
2019-08-20,64300.0,36710.0,0.0,0.0,0.0,0.0,0.03238,0.0,ohlcv_proxy,
2019-08-21,63200.0,79250.0,0.0,0.0,-0.0,0.0,0.030395,0.0,ohlcv_proxy,
2019-08-22,63300.0,85883.0,0.0,0.0,-0.0,0.0,0.029059,0.0,ohlcv_proxy,
2019-08-23,63400.0,72019.0,0.0,0.0,-0.0,0.0,0.036654,0.0,ohlcv_proxy,
2019-08-26,63000.0,61048.0,0.0,0.0,-0.0,0.0,0.036066,0.0,ohlcv_proxy,
2019-08-27,61400.0,88886.0,0.0,0.0,-0.0,0.0,0.006491,0.0,ohlcv_proxy,
2019-08-28,61800.0,223121.0,0.0,0.0,-0.0,0.1,-0.003073,0.0,ohlcv_proxy,
2019-08-29,60400.0,91134.0,0.0,0.0,-0.0,0.1,-0.011037,0.0,ohlcv_proxy,
2019-08-30,60400.0,98133.0,0.0,0.0,-0.0,0.1,-0.017811,0.0,ohlcv_proxy,
2019-09-02,60700.0,109028.0,0.0,0.0,-0.0,0.1,-0.021316,0.0,ohlcv_proxy,
2019-09-03,62300.0,133968.0,0.0,0.0,-0.0,0.1,-0.019315,0.0,ohlcv_proxy,
2019-09-04,62200.0,82835.0,0.0,0.0,-0.0,0.1,-0.024771,0.0,ohlcv_proxy,
2019-09-05,61400.0,118776.0,0.0,0.0,-0.0,0.1,-0.022231,0.0,ohlcv_proxy,
2019-09-06,60800.0,53950.0,0.0,0.0,-0.0,0.1,-0.019347,0.0,ohlcv_proxy,
2019-09-09,61800.0,89041.0,0.0,0.0,-0.0,0.1,-0.014176,0.0,ohlcv_proxy,
2019-09-10,62200.0,75778.0,0.0,0.0,-0.0,0.1,-0.00992,0.0,ohlcv_proxy,
2019-09-11,64500.0,223148.0,0.0,0.0,0.0,0.1,0.005428,0.0,ohlcv_proxy,
2019-09-16,64600.0,118562.0,0.0,0.0,0.0,0.1,0.01597,0.0,ohlcv_proxy,
2019-09-17,64200.0,175956.0,0.0,0.0,0.0,0.0,0.019958,0.0,ohlcv_proxy,
2019-09-18,64000.0,240276.0,0.0,0.0,0.0,-0.1,0.022422,0.0,ohlcv_proxy,
2019-09-19,63300.0,86316.0,0.0,0.0,0.0,-0.1,0.023884,0.0,ohlcv_proxy,
2019-09-20,62500.0,152994.0,0.0,0.0,-0.0,-0.1,0.017599,0.0,ohlcv_proxy,
2019-09-23,62500.0,107520.0,0.0,0.0,-0.0,-0.1,0.013169,0.0,ohlcv_proxy,
2019-09-24,62600.0,112007.0,0.0,0.0,-0.0,-0.1,0.008375,0.0,ohlcv_proxy,
2019-09-25,61200.0,156641.0,0.0,0.0,-0.0,-0.1,-0.003363,0.0,ohlcv_proxy,
2019-09-26,59700.0,172206.0,0.0,0.0,-0.0,-0.1,-0.013223,0.0,ohlcv_proxy,
2019-09-27,59800.0,75338.0,0.0,0.0,-0.0,-0.2,-0.019944,0.0,ohlcv_proxy,
2019-09-30,60000.0,81811.0,0.0,0.0,-0.0,-0.2,-0.026309,0.0,ohlcv_proxy,
2019-10-01,60800.0,99683.0,0.0,0.0,-0.0,-0.1,-0.032101,0.0,ohlcv_proxy,
2019-10-02,59800.0,84439.0,0.0,0.0,-0.0,0.0,-0.037501,0.0,ohlcv_proxy,
2019-10-04,58700.0,97054.0,0.0,0.0,-0.0,0.0,-0.038014,0.0,ohlcv_proxy,
2019-10-07,59400.0,34943.0,0.0,0.0,-0.0,0.0,-0.037897,0.0,ohlcv_proxy,
2019-10-08,58500.0,67170.0,0.0,0.0,-0.0,0.0,-0.04121,0.0,ohlcv_proxy,
2019-10-10,57400.0,132924.0,0.0,0.0,-0.0,0.0,-0.053505,0.0,ohlcv_proxy,
2019-10-11,56900.0,88628.0,0.0,0.0,-0.0,0.0,-0.060411,0.0,ohlcv_proxy,
2019-10-14,57400.0,109022.0,0.0,0.0,-0.0,0.0,-0.0622,0.0,ohlcv_proxy,
2019-10-15,59500.0,159761.0,0.0,0.0,-0.0,0.0,-0.048759,0.0,ohlcv_proxy,
2019-10-16,58700.0,86091.0,0.0,0.0,-0.0,0.0,-0.043819,0.0,ohlcv_proxy,
2019-10-17,59000.0,40845.0,0.0,0.0,-0.0,0.0,-0.034489,0.0,ohlcv_proxy,
2019-10-18,59100.0,87748.0,0.0,0.0,-0.0,0.0,-0.020097,0.0,ohlcv_proxy,
2019-10-21,59000.0,45726.0,0.0,0.0,-0.0,0.0,-0.011011,0.0,ohlcv_proxy,
2019-10-22,59500.0,54091.0,0.0,0.0,-0.0,0.0,-0.009231,0.0,ohlcv_proxy,
2019-10-23,59000.0,62842.0,0.0,0.0,-0.0,0.0,-0.004535,0.0,ohlcv_proxy,
2019-10-24,58900.0,54078.0,0.0,0.0,-0.0,0.0,-0.0013,0.0,ohlcv_proxy,
2019-10-25,60600.0,106222.0,0.0,0.0,0.0,0.0,0.00866,0.0,ohlcv_proxy,
2019-10-28,64300.0,252620.0,0.0,0.0,0.0,0.1,0.035842,0.0,ohlcv_proxy,
2019-10-29,62700.0,113605.0,0.0,0.0,0.0,0.1,0.039029,0.0,ohlcv_proxy,
2019-10-30,61500.0,65036.0,0.0,0.0,0.0,0.1,0.042504,0.0,ohlcv_proxy,
2019-10-31,63400.0,103354.0,0.0,0.0,0.0,0.1,0.047384,0.0,ohlcv_proxy,
2019-11-01,64100.0,72408.0,0.0,0.0,0.0,0.1,0.053515,0.0,ohlcv_proxy,
2019-11-04,64300.0,48011.0,0.0,0.0,0.0,0.1,0.043601,0.0,ohlcv_proxy,
2019-11-05,64300.0,37056.0,0.0,0.0,0.0,0.1,0.046538,0.0,ohlcv_proxy,
2019-11-06,65400.0,107116.0,0.0,0.0,0.0,0.1,0.05542,0.0,ohlcv_proxy,
2019-11-07,64500.0,45719.0,0.0,0.0,0.0,0.1,0.0546,0.0,ohlcv_proxy,
2019-11-08,63700.0,48548.0,0.0,0.0,0.0,0.1,0.049154,0.0,ohlcv_proxy,
2019-11-11,63200.0,32341.0,0.0,0.0,0.0,0.0,0.042023,0.0,ohlcv_proxy,
2019-11-12,63000.0,27288.0,0.0,0.0,0.0,0.0,0.035289,0.0,ohlcv_proxy,
2019-11-13,61500.0,71963.0,0.0,0.0,-0.0,0.0,0.010058,0.0,ohlcv_proxy,
2019-11-14,62200.0,68526.0,0.0,0.0,-0.0,0.0,0.000754,0.0,ohlcv_proxy,
2019-11-15,62900.0,49980.0,0.0,0.0,0.0,0.0,-0.005138,0.0,ohlcv_proxy,
2019-11-18,61300.0,71468.0,0.0,0.0,-0.0,0.0,-0.011542,0.0,ohlcv_proxy,
2019-11-19,60400.0,72780.0,0.0,0.0,-0.0,0.0,-0.018442,0.0,ohlcv_proxy,
2019-11-20,60300.0,45482.0,0.0,0.0,-0.0,0.0,-0.02246,0.0,ohlcv_proxy,
