date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source
2025-01-10,13099.0,808,0,0,0.0,0.2,0.016262,0.0,ohlcv_proxy
2025-01-13,12962.0,57,0,0,0.0,0.2,0.021871,0.0,ohlcv_proxy
2025-01-14,12981.0,41,0,0,0.0,0.2,0.021475,0.0,ohlcv_proxy
2025-01-15,12981.0,35,0,0,0.0,0.1,0.021073,0.0,ohlcv_proxy
2025-01-16,13163.0,19,0,0,0.0,0.1,0.019118,0.0,ohlcv_proxy
2025-01-17,13163.0,199,0,0,0.0,0.1,0.017636,0.0,ohlcv_proxy
2025-01-20,13055.0,53,0,0,0.0,0.0,0.018618,0.0,ohlcv_proxy
2025-01-21,13094.0,230,0,0,0.0,0.0,0.017783,0.0,ohlcv_proxy
2025-01-22,13192.0,277,0,0,0.0,0.0,0.017912,0.0,ohlcv_proxy
2025-01-23,13050.0,1337,0,0,0.0,-0.2,0.010463,0.0,ohlcv_proxy
2025-01-24,13295.0,1061,0,0,0.0,0.0,0.011364,0.0,ohlcv_proxy
2025-01-31,13124.0,499,0,0,0.0,0.0,0.010135,0.0,ohlcv_proxy
2025-02-03,12736.0,616,0,0,-0.0,-0.1,0.004889,0.0,ohlcv_proxy
2025-02-04,12868.0,81,0,0,-0.0,-0.1,0.001205,0.0,ohlcv_proxy
2025-02-05,12986.0,14,0,0,0.0,-0.1,0.002139,0.0,ohlcv_proxy
2025-02-06,13119.0,497,0,0,0.0,-0.1,-0.007357,0.0,ohlcv_proxy
2025-02-07,13143.0,123,0,0,0.0,-0.1,-0.012599,0.0,ohlcv_proxy
2025-02-10,13089.0,185,0,0,0.0,-0.1,-0.000187,0.0,ohlcv_proxy
2025-02-11,13344.0,9021,0,0,0.0,0.0,0.006389,0.0,ohlcv_proxy
2025-02-12,13428.0,11,0,0,0.0,0.1,0.006353,0.0,ohlcv_proxy
2025-02-13,13609.0,1536,0,0,0.0,0.1,0.006838,0.0,ohlcv_proxy
2025-02-14,13693.0,638,0,0,0.0,0.1,0.007082,0.0,ohlcv_proxy
2025-02-17,13801.0,2385,0,0,0.0,0.3,0.007894,0.0,ohlcv_proxy
2025-02-18,13938.0,1742,0,0,0.0,0.4,0.027295,0.0,ohlcv_proxy
