날짜,Open,High,Low,Close,Volume
2020-12-17,9591,9596,9561,9586,81465
2020-12-18,9571,9645,9571,9645,81839
2020-12-21,9645,9680,9625,9670,173521
2020-12-22,9690,9720,9670,9710,169475
2020-12-23,9720,9730,9705,9710,162486
2020-12-24,9695,9700,9640,9655,184037
2020-12-28,9650,9660,9586,9611,126283
2020-12-29,9611,9616,9566,9566,98379
2020-12-30,9566,9581,9516,9531,408456
2021-01-04,9531,9541,9477,9497,304934
2021-01-05,9526,9541,9497,9536,174730
2021-01-06,9531,9561,9512,9531,187496
2021-01-07,9531,9566,9521,9541,125625
2021-01-08,9591,9640,9561,9571,294675
2021-01-11,9591,9660,9591,9635,295440
2021-01-12,9645,9680,9625,9650,287116
2021-01-13,9601,9621,9591,9611,218309
2021-01-14,9645,9680,9635,9640,184956
2021-01-15,9630,9650,9616,9650,87312
2021-01-18,9700,9720,9675,9690,143036
2021-01-19,9695,9695,9655,9680,99027
2021-01-20,9655,9675,9640,9660,85590
2021-01-21,9635,9665,9635,9645,74484
2021-01-22,9650,9695,9650,9685,81603
2021-01-25,9690,9705,9660,9670,117638
2021-01-26,9670,9715,9665,9715,122719
2021-01-27,9685,9710,9670,9695,95740
2021-01-28,9744,9834,9739,9834,190297
2021-01-29,9794,9848,9774,9824,188104
2021-02-01,9834,9843,9789,9794,1095382
2021-02-02,9794,9824,9774,9799,90235
2021-02-03,9799,9799,9759,9789,171082
2021-02-04,9779,9829,9769,9824,101683
2021-02-05,9838,9893,9829,9868,109334
2021-02-08,9824,9843,9804,9834,105096
2021-02-09,9809,9819,9779,9804,110128
2021-02-10,9764,9774,9720,9725,158392
2021-02-15,9695,9705,9665,9670,175604
2021-02-16,9680,9685,9630,9660,271268
2021-02-17,9725,9749,9700,9730,116258
2021-02-18,9720,9730,9685,9730,76081
2021-02-19,9730,9744,9705,9710,61129
2021-02-22,9695,9739,9685,9739,121358
2021-02-23,9749,9769,9730,9754,87722
2021-02-24,9744,9769,9725,9764,80355
2021-02-25,9710,9749,9705,9730,85143
2021-02-26,9824,9873,9819,9868,283727
2021-03-02,9809,9883,9799,9873,154360
2021-03-03,9883,9883,9838,9843,75061
2021-03-04,9888,9908,9863,9873,111830
2021-03-05,9928,9943,9868,9878,159677
2021-03-08,9893,9957,9893,9952,165436
2021-03-09,10007,10047,9982,10017,180208
2021-03-10,9972,10056,9972,10032,169840
2021-03-11,9997,10012,9957,9977,112720
2021-03-12,9928,9957,9898,9947,111014
2021-03-15,9977,9992,9947,9982,81728
